========================================================================================================================
Training started at: 2026-04-07 06:43:22
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.001
========================================================================================================================
[Round 159/210] Phase=standard | Stage=warmup | Acc=53.360 | RoundTime=35.51s | TotalTime=5619.62s | Method=fedprox
[Round 160/210] Phase=standard | Stage=warmup | Acc=53.520 | RoundTime=35.43s | TotalTime=5655.06s | Method=fedprox
[Round 161/210] Phase=standard | Stage=warmup | Acc=53.480 | RoundTime=33.51s | TotalTime=5688.58s | Method=fedprox
[Round 162/210] Phase=standard | Stage=warmup | Acc=52.820 | RoundTime=35.57s | TotalTime=5724.16s | Method=fedprox
[Round 163/210] Phase=standard | Stage=warmup | Acc=53.430 | RoundTime=35.48s | TotalTime=5759.65s | Method=fedprox
[Round 164/210] Phase=standard | Stage=warmup | Acc=53.420 | RoundTime=36.34s | TotalTime=5796.00s | Method=fedprox
[Round 165/210] Phase=standard | Stage=warmup | Acc=53.290 | RoundTime=35.56s | TotalTime=5831.57s | Method=fedprox
[Round 166/210] Phase=standard | Stage=warmup | Acc=53.330 | RoundTime=35.47s | TotalTime=5867.05s | Method=fedprox
[Round 167/210] Phase=standard | Stage=warmup | Acc=53.430 | RoundTime=35.54s | TotalTime=5902.60s | Method=fedprox
[Round 168/210] Phase=standard | Stage=warmup | Acc=53.270 | RoundTime=35.69s | TotalTime=5938.30s | Method=fedprox
[Round 169/210] Phase=standard | Stage=warmup | Acc=52.950 | RoundTime=33.45s | TotalTime=5971.76s | Method=fedprox
[Round 170/210] Phase=standard | Stage=warmup | Acc=53.240 | RoundTime=35.59s | TotalTime=6007.36s | Method=fedprox
[Round 171/210] Phase=standard | Stage=warmup | Acc=52.720 | RoundTime=35.59s | TotalTime=6042.96s | Method=fedprox
[Round 172/210] Phase=standard | Stage=warmup | Acc=52.720 | RoundTime=35.50s | TotalTime=6078.47s | Method=fedprox
[Round 173/210] Phase=standard | Stage=warmup | Acc=53.470 | RoundTime=35.53s | TotalTime=6114.01s | Method=fedprox
[Round 174/210] Phase=standard | Stage=warmup | Acc=53.330 | RoundTime=36.04s | TotalTime=6150.06s | Method=fedprox
