========================================================================================================================
Training started at: 2026-04-09 07:01:56
Result directory: results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.txt
Result log file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 146/210] Phase=standard | Stage=warmup | Acc=93.680 | RoundTime=30.83s | TotalTime=4563.49s | Method=fedgloss
[Round 147/210] Phase=standard | Stage=warmup | Acc=93.370 | RoundTime=31.10s | TotalTime=4594.60s | Method=fedgloss
[Round 148/210] Phase=standard | Stage=warmup | Acc=93.180 | RoundTime=32.25s | TotalTime=4626.86s | Method=fedgloss
[Round 149/210] Phase=standard | Stage=warmup | Acc=93.720 | RoundTime=31.11s | TotalTime=4657.98s | Method=fedgloss
[Round 150/210] Phase=standard | Stage=warmup | Acc=92.470 | RoundTime=31.70s | TotalTime=4689.69s | Method=fedgloss
[Round 151/210] Phase=standard | Stage=warmup | Acc=92.470 | RoundTime=30.59s | TotalTime=4720.28s | Method=fedgloss
[Round 152/210] Phase=standard | Stage=warmup | Acc=93.360 | RoundTime=30.98s | TotalTime=4751.27s | Method=fedgloss
[Round 153/210] Phase=standard | Stage=warmup | Acc=92.420 | RoundTime=32.29s | TotalTime=4783.57s | Method=fedgloss
[Round 154/210] Phase=standard | Stage=warmup | Acc=92.370 | RoundTime=30.84s | TotalTime=4814.42s | Method=fedgloss
[Round 155/210] Phase=standard | Stage=warmup | Acc=93.220 | RoundTime=30.46s | TotalTime=4844.88s | Method=fedgloss
[Round 156/210] Phase=standard | Stage=warmup | Acc=92.620 | RoundTime=31.21s | TotalTime=4876.11s | Method=fedgloss
[Round 157/210] Phase=standard | Stage=warmup | Acc=92.700 | RoundTime=31.86s | TotalTime=4907.98s | Method=fedgloss
[Round 158/210] Phase=standard | Stage=warmup | Acc=92.060 | RoundTime=31.37s | TotalTime=4939.36s | Method=fedgloss
[Round 159/210] Phase=standard | Stage=warmup | Acc=91.930 | RoundTime=30.79s | TotalTime=4970.15s | Method=fedgloss
[Round 160/210] Phase=standard | Stage=warmup | Acc=91.830 | RoundTime=31.11s | TotalTime=5001.28s | Method=fedgloss
[Round 161/210] Phase=standard | Stage=warmup | Acc=91.940 | RoundTime=32.03s | TotalTime=5033.31s | Method=fedgloss
[Round 162/210] Phase=standard | Stage=warmup | Acc=92.090 | RoundTime=31.58s | TotalTime=5064.92s | Method=fedgloss
[Round 163/210] Phase=standard | Stage=warmup | Acc=91.390 | RoundTime=31.40s | TotalTime=5096.33s | Method=fedgloss
[Round 164/210] Phase=standard | Stage=warmup | Acc=91.280 | RoundTime=30.60s | TotalTime=5126.94s | Method=fedgloss
[Round 165/210] Phase=standard | Stage=warmup | Acc=92.180 | RoundTime=31.78s | TotalTime=5158.73s | Method=fedgloss
[Round 166/210] Phase=standard | Stage=warmup | Acc=91.850 | RoundTime=32.11s | TotalTime=5190.85s | Method=fedgloss
